DATA_EMISSAO;DATA_EMBARQUE;HORA_EMBARQUE;CIA_BILHETE;TRECHO;ORIGEM;DESTINO;CUPOM;BILHETE;TIPO;CABINE;CIA_VOO;VALOR_BRL;EMPRESA;CNPJ;IATA_AGENCIA;BASE_VENDA;QTD_PAX;NUM_VOO;CONSOLIDADA
01/02/2019;14/08/2019;07:25;O6;CGH/SDU/CGH;CGH;SDU;1;2444298116;N;K;O6;R$ 552,30;FLYTOUR SP PACAEMBU(REDE)(SAO);62.282.892/0001-53;57934925;SAO;1;6006;ABALONE
01/02/2019;15/08/2019;16:20;G3;CGH/SDU/CGH;CGH;SDU;1;309522102;N;N;G3;R$ 505,80;SETE MARES (SAO);62.282.892/0001-53;57934925;SAO;1;1008;ABALONE
01/02/2019;16/08/2019;16:20;G3;CGH/SDU/CGH;CGH;SDU;1;309522145;N;N;G3;R$ 505,80;SETE MARES (SAO);62.282.892/0001-53;57934925;SAO;1;1008;ABALONE
01/02/2019;17/08/2019;15:20;G3;CGH/SDU/CGH;CGH;SDU;1;309529816;N;N;G3;R$ 125,40;JORNADA VIAGENS (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;1006;ABALONE
01/02/2019;18/08/2019;04:20;G3;CGH/SDU/CGH;CGH;SDU;1;309530075;N;N;G3;R$ 959,80;RM VIAGENS (RIO);62.282.892/0001-53;57934925;RIO;1;1030;ABALONE
01/02/2019;19/08/2019;16:20;G3;CGH/SDU/CGH;CGH;SDU;1;309531314;N;N;G3;R$ 194,80;TEKA (SAO);62.282.892/0001-53;57934925;SAO;1;1008;ABALONE
01/02/2019;20/08/2019;16:00;LA;CGH/SDU/CGH;CGH;SDU;1;2190792066;N;N;LA;R$ 1.013,80;PUNTO VIAGENS (REDE SAO);62.282.892/0001-53;57934925;SAO;1;3940;ABALONE
01/02/2019;21/08/2019;07:30;LA;CGH/SDU/CGH;CGH;SDU;1;2190793365;N;M;LA;R$ 2.398,70;CT TRAVEL VIAGENS (SAO);62.282.892/0001-53;57934925;SAO;1;3906;ABALONE
01/02/2019;22/08/2019;16:20;G3;CGH/SDU/CGH;CGH;SDU;1;309537924;N;N;G3;R$ 599,80;GIARETTA VIAGENS (SAO);62.282.892/0001-53;57934925;SAO;1;1008;ABALONE
01/02/2019;23/08/2019;21:20;LA;CGH/SDU/CGH;CGH;SDU;1;2190694961;N;Q;LA;R$ 539,82;CREDIT AGRICOLE BANCO;62.282.892/0001-53;57934925;SAO;1;3960;ABALONE
01/02/2019;24/08/2019;12:00;LA;CGH/SDU/CGH;CGH;SDU;1;2190695055;N;N;LA;R$ 799,84;CREDIT AGRICOLE BANCO;62.282.892/0001-53;57934925;SAO;1;3924;ABALONE
01/02/2019;25/08/2019;10:10;G3;CGH/SDU/CGH;CGH;SDU;1;6192033;N;A;G3;R$ 754,31;MATTOS FILHO - ADVOGADOS;62.282.892/0001-53;57934925;SAO;1;1016;ABALONE
01/02/2019;26/08/2019;07:55;LA;CGH/SDU/CGH;CGH;SDU;1;2191677344;N;N;LA;R$ 1.097,80;CONEXXE TRAVEL (SAO);62.282.892/0001-53;57934925;SAO;1;3908;ABALONE
01/02/2019;27/08/2019;03:30;LA;CGH/SDU/CGH;CGH;SDU;1;2191702823;N;Q;LA;R$ 784,80;CONEXXE TRAVEL (SAO);62.282.892/0001-53;57934925;SAO;1;3938;ABALONE
01/02/2019;28/08/2019;11:00;LA;CGH/SDU/CGH;CGH;SDU;1;2191660603;N;Q;LA;R$ 614,24;BRW VIAG E TUR (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;3904;ABALONE
01/02/2019;29/08/2019;11:00;O6;CGH/SDU/CGH;CGH;SDU;1;2444420865;N;Z;O6;R$ 206,50;BRW VIAG E TUR (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;6024;ABALONE
01/02/2019;30/08/2019;11:00;O6;CGH/SDU/CGH;CGH;SDU;1;2444531028;N;K;O6;R$ 686,02;BRW VIAG E TUR (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;6006;ABALONE
01/02/2019;31/08/2019;11:00;O6;CGH/SDU/CGH;CGH;SDU;1;2444531029;N;E;O6;R$ 1.141,00;BRW VIAG E TUR (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;6024;ABALONE
01/02/2019;01/09/2019;11:00;LA;CGH/SDU/CGH;CGH;SDU;1;2191632788;N;X;LA;R$ 1.080,22;CLC TURISMO (REDE)-(VIX);62.282.892/0001-53;57934925;SAO;1;3912;ABALONE
01/02/2019;02/09/2019;11:00;G3;CGH/SDU/CGH;CGH;SDU;1;310313210;N;A;G3;R$ 614,24;FLYTOUR COTIA - LW (REDE)(SAO);62.282.892/0001-53;57934925;SAO;1;1008;ABALONE
01/02/2019;03/09/2019;11:00;O6;CGH/SDU/CGH;CGH;SDU;1;2444420864;N;A;O6;R$ 1.211,00;BRW VIAG E TUR (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;6004;ABALONE
01/02/2019;04/09/2019;03:30;LA;CGH/SDU/CGH;CGH;SDU;1;2191702822;N;Q;LA;R$ 784,80;CONEXXE TRAVEL (SAO);62.282.892/0001-53;57934925;SAO;1;3938;ABALONE
01/02/2019;05/09/2019;11:00;G3;CGH/SDU/CGH;CGH;SDU;1;310314526;N;E;G3;R$ 878,24;FLYTOUR COTIA - LW (REDE)(SAO);62.282.892/0001-53;57934925;SAO;1;1008;ABALONE
01/02/2019;06/09/2019;11:00;O6;CGH/SDU/CGH;CGH;SDU;1;2444540970;N;A;O6;R$ 1.211,00;BRW VIAG E TUR (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;6004;ABALONE
01/02/2019;07/09/2019;11:00;O6;CGH/SDU/CGH;CGH;SDU;1;2444531005;N;L;O6;R$ 520,77;BRW VIAG E TUR (REDE) (SAO);62.282.892/0001-53;57934925;SAO;1;6006;ABALONE
01/02/2019;08/09/2019;12:10;G3;CGH/SDU/CGH;CGH;SDU;1;310323290;N;Y;G3;R$ 2.250,00;EDESTINOS (SAO);62.282.892/0001-53;57934925;SAO;1;1024;ABALONE
01/02/2019;09/09/2019;12:10;G3;CGH/SDU/CGH;CGH;SDU;1;310323312;N;Y;G3;R$ 2.250,00;EDESTINOS (SAO);62.282.892/0001-53;57934925;SAO;1;1024;ABALONE
01/02/2019;10/09/2019;19:00;O6;CGH/SDU/CGH;CGH;SDU;1;2444523189;N;S;O6;R$ 146,30;EDESTINOS (SAO);62.282.892/0001-53;57934925;SAO;1;6014;ABALONE
